date,reg_nom,reg,tot_rea,tot_dchosp,tot_lits_rea,tot_pop,tot_hosp_7j,tx_rea,dchosp_100k
2021-07-12,Auvergne-Rhône-Alpes,84,72,11672,564,8032377,70,12.76595744680851,145.31190455826462
2021-07-12,Bourgogne-Franche-Comté,27,24,4843,194,2783039,41,12.371134020618557,174.01840218552454
2021-07-12,Bretagne,53,18,1660,162,3340379,16,11.11111111111111,49.694959763547786
2021-07-12,Centre-Val de Loire,24,32,2782,188,2559073,22,17.02127659574468,108.71124035930198
2021-07-12,Corse,94,2,206,18,344679,4,11.11111111111111,59.76575306299484
2021-07-12,Grand Est,44,46,10220,465,5511747,31,9.89247311827957,185.4221538107609
2021-07-12,Hauts-de-France,32,143,9275,452,5962662,107,31.63716814159292,155.551329255289
2021-07-12,Île-de-France,11,272,20597,1121,12278210,244,24.264049955396967,167.752465546688
2021-07-12,Normandie,28,45,3384,240,3303500,48,18.75,102.43680944452852
2021-07-12,Nouvelle-Aquitaine,75,41,3868,424,5999982,40,9.669811320754718,64.46686006724687
2021-07-12,Occitanie,76,52,4605,466,5924858,109,11.158798283261802,77.7233817249291
2021-07-12,Pays de la Loire,52,20,2735,179,3801797,24,11.1731843575419,71.9396643218983
2021-07-12,Provence-Alpes-Côte d'Azur,93,100,8069,469,5055651,98,21.321961620469082,159.60358023130948
