date,iso_code,new_cases_smoothed_per_million
2021-07-12,ALB,2.978
2021-07-12,ARM,41.123
2021-07-12,AUT,15.656
2021-07-12,AZE,11.892
2021-07-12,BLR,100.249
2021-07-12,BEL,106.82
2021-07-12,BIH,5.835
2021-07-12,BGR,8.1
2021-07-12,HRV,20.705
2021-07-12,CYP,1012.703
2021-07-12,CZE,19.423
2021-07-12,DNK,111.406
2021-07-12,EST,32.415
2021-07-12,FIN,42.439
2021-07-12,FRA,57.038
2021-07-12,GEO,283.804
2021-07-12,DEU,9.247
2021-07-12,GRC,190.635
2021-07-12,HUN,4.096
2021-07-12,ISL,0.0
2021-07-12,IRL,110.605
2021-07-12,ITA,19.767
2021-07-12,LVA,19.995
2021-07-12,LTU,16.32
2021-07-12,LUX,188.962
2021-07-12,MDA,17.494
2021-07-12,MNE,34.119
2021-07-12,NLD,386.405
2021-07-12,MKD,5.897
2021-07-12,NOR,32.439
2021-07-12,POL,2.102
2021-07-12,PRT,268.784
2021-07-12,ROU,2.198
2021-07-12,RUS,166.313
2021-07-12,SRB,14.36
2021-07-12,SVK,5.364
2021-07-12,SVN,30.648
2021-07-12,ESP,319.75
2021-07-12,SWE,23.481
2021-07-12,CHE,32.716
2021-07-12,TUR,26.475
2021-07-12,UKR,21.811
2021-07-12,GBR,477.056
