iso_code,name_fr,continent,date,new_cases_smoothed_per_million
ARG,Argentine,South America,2020-01-01,NA
ARG,Argentine,South America,2020-01-02,NA
ARG,Argentine,South America,2020-01-03,NA
ARG,Argentine,South America,2020-01-04,NA
ARG,Argentine,South America,2020-01-05,NA
ARG,Argentine,South America,2020-01-06,NA
ARG,Argentine,South America,2020-01-07,NA
ARG,Argentine,South America,2020-01-08,NA
ARG,Argentine,South America,2020-01-09,NA
ARG,Argentine,South America,2020-01-10,NA
ARG,Argentine,South America,2020-01-11,NA
ARG,Argentine,South America,2020-01-12,NA
ARG,Argentine,South America,2020-01-13,NA
ARG,Argentine,South America,2020-01-14,NA
ARG,Argentine,South America,2020-01-15,NA
ARG,Argentine,South America,2020-01-16,NA
ARG,Argentine,South America,2020-01-17,NA
ARG,Argentine,South America,2020-01-18,NA
ARG,Argentine,South America,2020-01-19,NA
ARG,Argentine,South America,2020-01-20,NA
ARG,Argentine,South America,2020-01-21,NA
ARG,Argentine,South America,2020-01-22,NA
ARG,Argentine,South America,2020-01-23,NA
ARG,Argentine,South America,2020-01-24,NA
ARG,Argentine,South America,2020-01-25,NA
ARG,Argentine,South America,2020-01-26,NA
ARG,Argentine,South America,2020-01-27,NA
ARG,Argentine,South America,2020-01-28,NA
ARG,Argentine,South America,2020-01-29,NA
ARG,Argentine,South America,2020-01-30,NA
ARG,Argentine,South America,2020-01-31,NA
ARG,Argentine,South America,2020-02-01,NA
ARG,Argentine,South America,2020-02-02,NA
ARG,Argentine,South America,2020-02-03,NA
ARG,Argentine,South America,2020-02-04,NA
ARG,Argentine,South America,2020-02-05,NA
ARG,Argentine,South America,2020-02-06,NA
ARG,Argentine,South America,2020-02-07,NA
ARG,Argentine,South America,2020-02-08,NA
ARG,Argentine,South America,2020-02-09,NA
ARG,Argentine,South America,2020-02-10,NA
ARG,Argentine,South America,2020-02-11,NA
ARG,Argentine,South America,2020-02-12,NA
ARG,Argentine,South America,2020-02-13,NA
ARG,Argentine,South America,2020-02-14,NA
ARG,Argentine,South America,2020-02-15,NA
ARG,Argentine,South America,2020-02-16,NA
ARG,Argentine,South America,2020-02-17,NA
ARG,Argentine,South America,2020-02-18,NA
ARG,Argentine,South America,2020-02-19,NA
ARG,Argentine,South America,2020-02-20,NA
ARG,Argentine,South America,2020-02-21,NA
ARG,Argentine,South America,2020-02-22,NA
ARG,Argentine,South America,2020-02-23,NA
ARG,Argentine,South America,2020-02-24,NA
ARG,Argentine,South America,2020-02-25,NA
ARG,Argentine,South America,2020-02-26,NA
ARG,Argentine,South America,2020-02-27,NA
ARG,Argentine,South America,2020-02-28,NA
ARG,Argentine,South America,2020-02-29,NA
ARG,Argentine,South America,2020-03-01,NA
ARG,Argentine,South America,2020-03-02,NA
ARG,Argentine,South America,2020-03-03,NA
ARG,Argentine,South America,2020-03-04,NA
ARG,Argentine,South America,2020-03-05,NA
ARG,Argentine,South America,2020-03-06,NA
ARG,Argentine,South America,2020-03-07,NA
ARG,Argentine,South America,2020-03-08,0.038
ARG,Argentine,South America,2020-03-09,0.038
ARG,Argentine,South America,2020-03-10,0.051
ARG,Argentine,South America,2020-03-11,0.057
ARG,Argentine,South America,2020-03-12,0.057
ARG,Argentine,South America,2020-03-13,0.092
ARG,Argentine,South America,2020-03-14,0.082
ARG,Argentine,South America,2020-03-15,0.104
ARG,Argentine,South America,2020-03-16,0.139
ARG,Argentine,South America,2020-03-17,0.161
ARG,Argentine,South America,2020-03-18,0.19
ARG,Argentine,South America,2020-03-19,0.247
ARG,Argentine,South America,2020-03-20,0.307
ARG,Argentine,South America,2020-03-21,0.392
ARG,Argentine,South America,2020-03-22,0.699
ARG,Argentine,South America,2020-03-23,0.774
ARG,Argentine,South America,2020-03-24,1.008
ARG,Argentine,South America,2020-03-25,0.974
ARG,Argentine,South America,2020-03-26,1.28
ARG,Argentine,South America,2020-03-27,1.457
ARG,Argentine,South America,2020-03-28,1.682
ARG,Argentine,South America,2020-03-29,1.514
ARG,Argentine,South America,2020-03-30,1.64
ARG,Argentine,South America,2020-03-31,2.108
ARG,Argentine,South America,2020-04-01,2.108
ARG,Argentine,South America,2020-04-02,1.994
ARG,Argentine,South America,2020-04-03,2.137
ARG,Argentine,South America,2020-04-04,2.405
ARG,Argentine,South America,2020-04-05,2.232
ARG,Argentine,South America,2020-04-06,2.32
ARG,Argentine,South America,2020-04-07,1.814
ARG,Argentine,South America,2020-04-08,2.089
ARG,Argentine,South America,2020-04-09,2.092
ARG,Argentine,South America,2020-04-10,2.244
ARG,Argentine,South America,2020-04-11,1.656
ARG,Argentine,South America,2020-04-12,2.184
ARG,Argentine,South America,2020-04-13,2.067
ARG,Argentine,South America,2020-04-14,2.051
ARG,Argentine,South America,2020-04-15,2.301
ARG,Argentine,South America,2020-04-16,2.453
ARG,Argentine,South America,2020-04-17,2.194
ARG,Argentine,South America,2020-04-18,2.475
ARG,Argentine,South America,2020-04-19,2.203
ARG,Argentine,South America,2020-04-20,2.317
ARG,Argentine,South America,2020-04-21,2.383
ARG,Argentine,South America,2020-04-22,2.216
ARG,Argentine,South America,2020-04-23,2.731
ARG,Argentine,South America,2020-04-24,2.965
ARG,Argentine,South America,2020-04-25,3.23
ARG,Argentine,South America,2020-04-26,3.328
ARG,Argentine,South America,2020-04-27,3.357
ARG,Argentine,South America,2020-04-28,3.464
ARG,Argentine,South America,2020-04-29,3.607
ARG,Argentine,South America,2020-04-30,3.139
ARG,Argentine,South America,2020-05-01,2.924
ARG,Argentine,South America,2020-05-02,2.848
ARG,Argentine,South America,2020-05-03,2.816
ARG,Argentine,South America,2020-05-04,2.794
ARG,Argentine,South America,2020-05-05,2.823
ARG,Argentine,South America,2020-05-06,2.917
ARG,Argentine,South America,2020-05-07,2.981
ARG,Argentine,South America,2020-05-08,3.411
ARG,Argentine,South America,2020-05-09,3.461
ARG,Argentine,South America,2020-05-10,3.954
ARG,Argentine,South America,2020-05-11,4.397
ARG,Argentine,South America,2020-05-12,4.877
ARG,Argentine,South America,2020-05-13,5.282
ARG,Argentine,South America,2020-05-14,5.573
ARG,Argentine,South America,2020-05-15,5.904
ARG,Argentine,South America,2020-05-16,6.413
ARG,Argentine,South America,2020-05-17,6.429
ARG,Argentine,South America,2020-05-18,6.616
ARG,Argentine,South America,2020-05-19,7.099
ARG,Argentine,South America,2020-05-20,7.599
ARG,Argentine,South America,2020-05-21,8.841
ARG,Argentine,South America,2020-05-22,10.02
ARG,Argentine,South America,2020-05-23,11.215
ARG,Argentine,South America,2020-05-24,12.669
ARG,Argentine,South America,2020-05-25,13.456
ARG,Argentine,South America,2020-05-26,13.968
ARG,Argentine,South America,2020-05-27,14.698
ARG,Argentine,South America,2020-05-28,15.08
ARG,Argentine,South America,2020-05-29,15.077
ARG,Argentine,South America,2020-05-30,15.365
ARG,Argentine,South America,2020-05-31,15.093
ARG,Argentine,South America,2020-06-01,15.131
ARG,Argentine,South America,2020-06-02,16.092
ARG,Argentine,South America,2020-06-03,16.863
ARG,Argentine,South America,2020-06-04,17.369
ARG,Argentine,South America,2020-06-05,17.758
ARG,Argentine,South America,2020-06-06,18.352
ARG,Argentine,South America,2020-06-07,18.785
ARG,Argentine,South America,2020-06-08,19.613
ARG,Argentine,South America,2020-06-09,20.362
ARG,Argentine,South America,2020-06-10,21.238
ARG,Argentine,South America,2020-06-11,22.682
ARG,Argentine,South America,2020-06-12,24.424
ARG,Argentine,South America,2020-06-13,26.156
ARG,Argentine,South America,2020-06-14,27.762
ARG,Argentine,South America,2020-06-15,28.969
ARG,Argentine,South America,2020-06-16,29.706
ARG,Argentine,South America,2020-06-17,30.234
ARG,Argentine,South America,2020-06-18,32.042
ARG,Argentine,South America,2020-06-19,34.156
ARG,Argentine,South America,2020-06-20,34.482
ARG,Argentine,South America,2020-06-21,35.427
ARG,Argentine,South America,2020-06-22,38.392
ARG,Argentine,South America,2020-06-23,41.23
ARG,Argentine,South America,2020-06-24,45.197
ARG,Argentine,South America,2020-06-25,47.245
ARG,Argentine,South America,2020-06-26,49.856
ARG,Argentine,South America,2020-06-27,52.28
ARG,Argentine,South America,2020-06-28,54.202
ARG,Argentine,South America,2020-06-29,54.8
ARG,Argentine,South America,2020-06-30,54.768
ARG,Argentine,South America,2020-07-01,54.828
ARG,Argentine,South America,2020-07-02,55.264
ARG,Argentine,South America,2020-07-03,55.135
ARG,Argentine,South America,2020-07-04,55.732
ARG,Argentine,South America,2020-07-05,56.522
ARG,Argentine,South America,2020-07-06,57.461
ARG,Argentine,South America,2020-07-07,59.727
ARG,Argentine,South America,2020-07-08,62.689
ARG,Argentine,South America,2020-07-09,65.594
ARG,Argentine,South America,2020-07-10,67.244
ARG,Argentine,South America,2020-07-11,69.959
ARG,Argentine,South America,2020-07-12,70.648
ARG,Argentine,South America,2020-07-13,72.124
ARG,Argentine,South America,2020-07-14,74.229
ARG,Argentine,South America,2020-07-15,76.227
ARG,Argentine,South America,2020-07-16,76.145
ARG,Argentine,South America,2020-07-17,79.783
ARG,Argentine,South America,2020-07-18,79.069
ARG,Argentine,South America,2020-07-19,84.044
ARG,Argentine,South America,2020-07-20,86.952
ARG,Argentine,South America,2020-07-21,92.322
ARG,Argentine,South America,2020-07-22,97.209
ARG,Argentine,South America,2020-07-23,105.079
ARG,Argentine,South America,2020-07-24,108.161
ARG,Argentine,South America,2020-07-25,113.19
ARG,Argentine,South America,2020-07-26,113.067
ARG,Argentine,South America,2020-07-27,115.82
ARG,Argentine,South America,2020-07-28,117.701
ARG,Argentine,South America,2020-07-29,117.255
ARG,Argentine,South America,2020-07-30,118.045
ARG,Argentine,South America,2020-07-31,119.423
ARG,Argentine,South America,2020-08-01,120.773
ARG,Argentine,South America,2020-08-02,124.515
ARG,Argentine,South America,2020-08-03,124.307
ARG,Argentine,South America,2020-08-04,127.003
ARG,Argentine,South America,2020-08-05,131.763
ARG,Argentine,South America,2020-08-06,135.354
ARG,Argentine,South America,2020-08-07,140.263
ARG,Argentine,South America,2020-08-08,143.085
ARG,Argentine,South America,2020-08-09,140.911
ARG,Argentine,South America,2020-08-10,148.955
ARG,Argentine,South America,2020-08-11,149.749
ARG,Argentine,South America,2020-08-12,151.38
ARG,Argentine,South America,2020-08-13,151.332
ARG,Argentine,South America,2020-08-14,147.801
ARG,Argentine,South America,2020-08-15,149.474
ARG,Argentine,South America,2020-08-16,151.942
ARG,Argentine,South America,2020-08-17,143.054
ARG,Argentine,South America,2020-08-18,142.412
ARG,Argentine,South America,2020-08-19,139.346
ARG,Argentine,South America,2020-08-20,141.644
ARG,Argentine,South America,2020-08-21,147.315
ARG,Argentine,South America,2020-08-22,150.779
ARG,Argentine,South America,2020-08-23,150.409
ARG,Argentine,South America,2020-08-24,163.546
ARG,Argentine,South America,2020-08-25,169.649
ARG,Argentine,South America,2020-08-26,181.841
ARG,Argentine,South America,2020-08-27,187.78
ARG,Argentine,South America,2020-08-28,199.026
ARG,Argentine,South America,2020-08-29,203.676
ARG,Argentine,South America,2020-08-30,209.476
ARG,Argentine,South America,2020-08-31,211.36
ARG,Argentine,South America,2020-09-01,216.838
ARG,Argentine,South America,2020-09-02,218.048
ARG,Argentine,South America,2020-09-03,224.123
ARG,Argentine,South America,2020-09-04,220.858
ARG,Argentine,South America,2020-09-05,223.052
ARG,Argentine,South America,2020-09-06,222.416
ARG,Argentine,South America,2020-09-07,222.119
ARG,Argentine,South America,2020-09-08,226.933
ARG,Argentine,South America,2020-09-09,231.125
ARG,Argentine,South America,2020-09-10,230.742
ARG,Argentine,South America,2020-09-11,233.344
ARG,Argentine,South America,2020-09-12,236.037
ARG,Argentine,South America,2020-09-13,242.58
ARG,Argentine,South America,2020-09-14,244.773
ARG,Argentine,South America,2020-09-15,244.346
ARG,Argentine,South America,2020-09-16,242.497
ARG,Argentine,South America,2020-09-17,245.013
ARG,Argentine,South America,2020-09-18,246.398
ARG,Argentine,South America,2020-09-19,241.657
ARG,Argentine,South America,2020-09-20,239.681
ARG,Argentine,South America,2020-09-21,236.119
ARG,Argentine,South America,2020-09-22,236.545
ARG,Argentine,South America,2020-09-23,239.551
ARG,Argentine,South America,2020-09-24,241.973
ARG,Argentine,South America,2020-09-25,245.209
ARG,Argentine,South America,2020-09-26,251.446
ARG,Argentine,South America,2020-09-27,252.742
ARG,Argentine,South America,2020-09-28,262.303
ARG,Argentine,South America,2020-09-29,266.887
ARG,Argentine,South America,2020-09-30,272.472
ARG,Argentine,South America,2020-10-01,274.16
ARG,Argentine,South America,2020-10-02,279.59
ARG,Argentine,South America,2020-10-03,279.211
ARG,Argentine,South America,2020-10-04,275.503
ARG,Argentine,South America,2020-10-05,273.717
ARG,Argentine,South America,2020-10-06,277.709
ARG,Argentine,South America,2020-10-07,284.205
ARG,Argentine,South America,2020-10-08,288.798
ARG,Argentine,South America,2020-10-09,290.1
