iso_code,name_fr,continent,date,new_deaths_smoothed_per_million
ARG,Argentine,South America,2020-01-01,NA
ARG,Argentine,South America,2020-01-02,NA
ARG,Argentine,South America,2020-01-03,NA
ARG,Argentine,South America,2020-01-04,NA
ARG,Argentine,South America,2020-01-05,NA
ARG,Argentine,South America,2020-01-06,NA
ARG,Argentine,South America,2020-01-07,NA
ARG,Argentine,South America,2020-01-08,NA
ARG,Argentine,South America,2020-01-09,NA
ARG,Argentine,South America,2020-01-10,NA
ARG,Argentine,South America,2020-01-11,NA
ARG,Argentine,South America,2020-01-12,NA
ARG,Argentine,South America,2020-01-13,NA
ARG,Argentine,South America,2020-01-14,NA
ARG,Argentine,South America,2020-01-15,NA
ARG,Argentine,South America,2020-01-16,NA
ARG,Argentine,South America,2020-01-17,NA
ARG,Argentine,South America,2020-01-18,NA
ARG,Argentine,South America,2020-01-19,NA
ARG,Argentine,South America,2020-01-20,NA
ARG,Argentine,South America,2020-01-21,NA
ARG,Argentine,South America,2020-01-22,NA
ARG,Argentine,South America,2020-01-23,NA
ARG,Argentine,South America,2020-01-24,NA
ARG,Argentine,South America,2020-01-25,NA
ARG,Argentine,South America,2020-01-26,NA
ARG,Argentine,South America,2020-01-27,NA
ARG,Argentine,South America,2020-01-28,NA
ARG,Argentine,South America,2020-01-29,NA
ARG,Argentine,South America,2020-01-30,NA
ARG,Argentine,South America,2020-01-31,NA
ARG,Argentine,South America,2020-02-01,NA
ARG,Argentine,South America,2020-02-02,NA
ARG,Argentine,South America,2020-02-03,NA
ARG,Argentine,South America,2020-02-04,NA
ARG,Argentine,South America,2020-02-05,NA
ARG,Argentine,South America,2020-02-06,NA
ARG,Argentine,South America,2020-02-07,NA
ARG,Argentine,South America,2020-02-08,NA
ARG,Argentine,South America,2020-02-09,NA
ARG,Argentine,South America,2020-02-10,NA
ARG,Argentine,South America,2020-02-11,NA
ARG,Argentine,South America,2020-02-12,NA
ARG,Argentine,South America,2020-02-13,NA
ARG,Argentine,South America,2020-02-14,NA
ARG,Argentine,South America,2020-02-15,NA
ARG,Argentine,South America,2020-02-16,NA
ARG,Argentine,South America,2020-02-17,NA
ARG,Argentine,South America,2020-02-18,NA
ARG,Argentine,South America,2020-02-19,NA
ARG,Argentine,South America,2020-02-20,NA
ARG,Argentine,South America,2020-02-21,NA
ARG,Argentine,South America,2020-02-22,NA
ARG,Argentine,South America,2020-02-23,NA
ARG,Argentine,South America,2020-02-24,NA
ARG,Argentine,South America,2020-02-25,NA
ARG,Argentine,South America,2020-02-26,NA
ARG,Argentine,South America,2020-02-27,NA
ARG,Argentine,South America,2020-02-28,NA
ARG,Argentine,South America,2020-02-29,NA
ARG,Argentine,South America,2020-03-01,NA
ARG,Argentine,South America,2020-03-02,NA
ARG,Argentine,South America,2020-03-03,NA
ARG,Argentine,South America,2020-03-04,NA
ARG,Argentine,South America,2020-03-05,NA
ARG,Argentine,South America,2020-03-06,NA
ARG,Argentine,South America,2020-03-07,NA
ARG,Argentine,South America,2020-03-08,0.003
ARG,Argentine,South America,2020-03-09,0.003
ARG,Argentine,South America,2020-03-10,0.003
ARG,Argentine,South America,2020-03-11,0.003
ARG,Argentine,South America,2020-03-12,0.003
ARG,Argentine,South America,2020-03-13,0.006
ARG,Argentine,South America,2020-03-14,0.006
ARG,Argentine,South America,2020-03-15,0.003
ARG,Argentine,South America,2020-03-16,0.003
ARG,Argentine,South America,2020-03-17,0.003
ARG,Argentine,South America,2020-03-18,0.003
ARG,Argentine,South America,2020-03-19,0.006
ARG,Argentine,South America,2020-03-20,0.003
ARG,Argentine,South America,2020-03-21,0.006
ARG,Argentine,South America,2020-03-22,0.006
ARG,Argentine,South America,2020-03-23,0.006
ARG,Argentine,South America,2020-03-24,0.013
ARG,Argentine,South America,2020-03-25,0.019
ARG,Argentine,South America,2020-03-26,0.019
ARG,Argentine,South America,2020-03-27,0.032
ARG,Argentine,South America,2020-03-28,0.044
ARG,Argentine,South America,2020-03-29,0.047
ARG,Argentine,South America,2020-03-30,0.06
ARG,Argentine,South America,2020-03-31,0.066
ARG,Argentine,South America,2020-04-01,0.063
ARG,Argentine,South America,2020-04-02,0.085
ARG,Argentine,South America,2020-04-03,0.082
ARG,Argentine,South America,2020-04-04,0.079
ARG,Argentine,South America,2020-04-05,0.079
ARG,Argentine,South America,2020-04-06,0.079
ARG,Argentine,South America,2020-04-07,0.092
ARG,Argentine,South America,2020-04-08,0.111
ARG,Argentine,South America,2020-04-09,0.114
ARG,Argentine,South America,2020-04-10,0.136
ARG,Argentine,South America,2020-04-11,0.126
ARG,Argentine,South America,2020-04-12,0.145
ARG,Argentine,South America,2020-04-13,0.155
ARG,Argentine,South America,2020-04-14,0.145
ARG,Argentine,South America,2020-04-15,0.152
ARG,Argentine,South America,2020-04-16,0.136
ARG,Argentine,South America,2020-04-17,0.13
ARG,Argentine,South America,2020-04-18,0.145
ARG,Argentine,South America,2020-04-19,0.133
ARG,Argentine,South America,2020-04-20,0.123
ARG,Argentine,South America,2020-04-21,0.142
ARG,Argentine,South America,2020-04-22,0.13
ARG,Argentine,South America,2020-04-23,0.158
ARG,Argentine,South America,2020-04-24,0.168
ARG,Argentine,South America,2020-04-25,0.177
ARG,Argentine,South America,2020-04-26,0.19
ARG,Argentine,South America,2020-04-27,0.193
ARG,Argentine,South America,2020-04-28,0.19
ARG,Argentine,South America,2020-04-29,0.196
ARG,Argentine,South America,2020-04-30,0.168
ARG,Argentine,South America,2020-05-01,0.155
ARG,Argentine,South America,2020-05-02,0.164
ARG,Argentine,South America,2020-05-03,0.171
ARG,Argentine,South America,2020-05-04,0.199
ARG,Argentine,South America,2020-05-05,0.18
ARG,Argentine,South America,2020-05-06,0.186
ARG,Argentine,South America,2020-05-07,0.202
ARG,Argentine,South America,2020-05-08,0.215
ARG,Argentine,South America,2020-05-09,0.199
ARG,Argentine,South America,2020-05-10,0.186
ARG,Argentine,South America,2020-05-11,0.171
ARG,Argentine,South America,2020-05-12,0.174
ARG,Argentine,South America,2020-05-13,0.177
ARG,Argentine,South America,2020-05-14,0.224
ARG,Argentine,South America,2020-05-15,0.199
ARG,Argentine,South America,2020-05-16,0.199
ARG,Argentine,South America,2020-05-17,0.215
ARG,Argentine,South America,2020-05-18,0.215
ARG,Argentine,South America,2020-05-19,0.234
ARG,Argentine,South America,2020-05-20,0.234
ARG,Argentine,South America,2020-05-21,0.199
ARG,Argentine,South America,2020-05-22,0.243
ARG,Argentine,South America,2020-05-23,0.259
ARG,Argentine,South America,2020-05-24,0.25
ARG,Argentine,South America,2020-05-25,0.269
ARG,Argentine,South America,2020-05-26,0.288
ARG,Argentine,South America,2020-05-27,0.307
ARG,Argentine,South America,2020-05-28,0.291
ARG,Argentine,South America,2020-05-29,0.275
ARG,Argentine,South America,2020-05-30,0.262
ARG,Argentine,South America,2020-05-31,0.275
ARG,Argentine,South America,2020-06-01,0.281
ARG,Argentine,South America,2020-06-02,0.269
ARG,Argentine,South America,2020-06-03,0.262
ARG,Argentine,South America,2020-06-04,0.316
ARG,Argentine,South America,2020-06-05,0.354
ARG,Argentine,South America,2020-06-06,0.379
ARG,Argentine,South America,2020-06-07,0.395
ARG,Argentine,South America,2020-06-08,0.433
ARG,Argentine,South America,2020-06-09,0.468
ARG,Argentine,South America,2020-06-10,0.48
ARG,Argentine,South America,2020-06-11,0.496
ARG,Argentine,South America,2020-06-12,0.484
ARG,Argentine,South America,2020-06-13,0.528
ARG,Argentine,South America,2020-06-14,0.534
ARG,Argentine,South America,2020-06-15,0.509
ARG,Argentine,South America,2020-06-16,0.509
ARG,Argentine,South America,2020-06-17,0.563
ARG,Argentine,South America,2020-06-18,0.578
ARG,Argentine,South America,2020-06-19,0.613
ARG,Argentine,South America,2020-06-20,0.559
ARG,Argentine,South America,2020-06-21,0.563
ARG,Argentine,South America,2020-06-22,0.597
ARG,Argentine,South America,2020-06-23,0.632
ARG,Argentine,South America,2020-06-24,0.642
ARG,Argentine,South America,2020-06-25,0.638
ARG,Argentine,South America,2020-06-26,0.648
ARG,Argentine,South America,2020-06-27,0.68
ARG,Argentine,South America,2020-06-28,0.699
ARG,Argentine,South America,2020-06-29,0.749
ARG,Argentine,South America,2020-06-30,0.724
ARG,Argentine,South America,2020-07-01,0.743
ARG,Argentine,South America,2020-07-02,0.743
ARG,Argentine,South America,2020-07-03,0.8
ARG,Argentine,South America,2020-07-04,0.866
ARG,Argentine,South America,2020-07-05,0.869
ARG,Argentine,South America,2020-07-06,0.955
ARG,Argentine,South America,2020-07-07,1.065
ARG,Argentine,South America,2020-07-08,1.084
ARG,Argentine,South America,2020-07-09,1.059
ARG,Argentine,South America,2020-07-10,1.065
ARG,Argentine,South America,2020-07-11,1.04
ARG,Argentine,South America,2020-07-12,1.068
ARG,Argentine,South America,2020-07-13,1.015
ARG,Argentine,South America,2020-07-14,1.024
ARG,Argentine,South America,2020-07-15,1.125
ARG,Argentine,South America,2020-07-16,1.239
ARG,Argentine,South America,2020-07-17,1.277
ARG,Argentine,South America,2020-07-18,1.296
ARG,Argentine,South America,2020-07-19,1.312
ARG,Argentine,South America,2020-07-20,1.486
ARG,Argentine,South America,2020-07-21,1.65
ARG,Argentine,South America,2020-07-22,1.701
ARG,Argentine,South America,2020-07-23,1.865
ARG,Argentine,South America,2020-07-24,1.988
ARG,Argentine,South America,2020-07-25,2.127
ARG,Argentine,South America,2020-07-26,2.146
ARG,Argentine,South America,2020-07-27,2.168
ARG,Argentine,South America,2020-07-28,2.178
ARG,Argentine,South America,2020-07-29,2.213
ARG,Argentine,South America,2020-07-30,2.336
ARG,Argentine,South America,2020-07-31,2.326
ARG,Argentine,South America,2020-08-01,2.222
ARG,Argentine,South America,2020-08-02,2.241
ARG,Argentine,South America,2020-08-03,2.383
ARG,Argentine,South America,2020-08-04,2.529
ARG,Argentine,South America,2020-08-05,2.586
ARG,Argentine,South America,2020-08-06,2.56
ARG,Argentine,South America,2020-08-07,2.744
ARG,Argentine,South America,2020-08-08,2.93
ARG,Argentine,South America,2020-08-09,3.028
ARG,Argentine,South America,2020-08-10,3.006
ARG,Argentine,South America,2020-08-11,3.24
ARG,Argentine,South America,2020-08-12,3.499
ARG,Argentine,South America,2020-08-13,3.512
ARG,Argentine,South America,2020-08-14,3.528
ARG,Argentine,South America,2020-08-15,3.521
ARG,Argentine,South America,2020-08-16,3.467
ARG,Argentine,South America,2020-08-17,3.319
ARG,Argentine,South America,2020-08-18,3.3
ARG,Argentine,South America,2020-08-19,3.531
ARG,Argentine,South America,2020-08-20,3.651
ARG,Argentine,South America,2020-08-21,3.803
ARG,Argentine,South America,2020-08-22,3.828
ARG,Argentine,South America,2020-08-23,4.052
ARG,Argentine,South America,2020-08-24,4.906
ARG,Argentine,South America,2020-08-25,4.789
ARG,Argentine,South America,2020-08-26,4.77
ARG,Argentine,South America,2020-08-27,4.846
ARG,Argentine,South America,2020-08-28,4.871
ARG,Argentine,South America,2020-08-29,4.757
ARG,Argentine,South America,2020-08-30,4.653
ARG,Argentine,South America,2020-08-31,4.09
ARG,Argentine,South America,2020-09-01,4.286
ARG,Argentine,South America,2020-09-02,4.043
ARG,Argentine,South America,2020-09-03,4.144
ARG,Argentine,South America,2020-09-04,4.273
ARG,Argentine,South America,2020-09-05,4.381
ARG,Argentine,South America,2020-09-06,4.432
ARG,Argentine,South America,2020-09-07,4.643
ARG,Argentine,South America,2020-09-08,4.697
ARG,Argentine,South America,2020-09-09,4.868
ARG,Argentine,South America,2020-09-10,4.887
ARG,Argentine,South America,2020-09-11,4.82
ARG,Argentine,South America,2020-09-12,4.817
ARG,Argentine,South America,2020-09-13,4.719
ARG,Argentine,South America,2020-09-14,4.861
ARG,Argentine,South America,2020-09-15,4.574
ARG,Argentine,South America,2020-09-16,4.609
ARG,Argentine,South America,2020-09-17,4.909
ARG,Argentine,South America,2020-09-18,4.767
ARG,Argentine,South America,2020-09-19,4.855
ARG,Argentine,South America,2020-09-20,5.377
ARG,Argentine,South America,2020-09-21,5.737
ARG,Argentine,South America,2020-09-22,6.638
ARG,Argentine,South America,2020-09-23,7.144
ARG,Argentine,South America,2020-09-24,7.289
ARG,Argentine,South America,2020-09-25,8.066
ARG,Argentine,South America,2020-09-26,8.673
ARG,Argentine,South America,2020-09-27,8.522
ARG,Argentine,South America,2020-09-28,8.316
ARG,Argentine,South America,2020-09-29,8.114
ARG,Argentine,South America,2020-09-30,8.095
ARG,Argentine,South America,2020-10-01,17.454
ARG,Argentine,South America,2020-10-02,17.04
ARG,Argentine,South America,2020-10-03,16.601
ARG,Argentine,South America,2020-10-04,16.655
ARG,Argentine,South America,2020-10-05,16.926
ARG,Argentine,South America,2020-10-06,16.778
ARG,Argentine,South America,2020-10-07,16.718
ARG,Argentine,South America,2020-10-08,7.656
ARG,Argentine,South America,2020-10-09,8.3
