iso_code,continent,date,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,name_fr
GBR,Europe,2021-07-05,45428681.0,33874176.0,66.92,49.9,67886004,Royaume-Uni
BEL,Europe,2021-07-06,7450469.0,4352173.0,64.29,37.55,11589616,Belgique
NLD,Europe,2021-07-06,10984399.0,6580763.0,64.11,38.41,17134873,Pays-Bas
PRT,Europe,2021-07-06,6179941.0,3938795.0,60.61,38.63,10196707,Portugal
ITA,Europe,2021-07-06,34589124.0,20858991.0,57.21,34.5,60461828,Italie
ESP,Europe,2021-07-05,26727529.0,19530228.0,57.17,41.77,46754783,Espagne
DEU,Europe,2021-07-05,47213139.0,32696003.0,56.35,39.02,83783945,Allemagne
SWE,Europe,2021-07-06,5302083.0,3430420.0,52.5,33.97,10099270,Suède
FRA,Europe,2021-07-05,34709210.0,23027275.0,51.37,34.08,67564251,France
GRC,Europe,2021-07-06,5081723.0,4058143.0,48.75,38.93,10423056,Grèce
