iso_code,continent,date,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,name_fr
CAN,North America,2021-07-03,25851422.0,12925620.0,68.49,34.25,37742157,Canada
GBR,Europe,2021-07-02,45135880.0,33402028.0,66.49,49.2,67886004,Royaume-Uni
CHL,South America,2021-06-30,12667502.0,10684303.0,66.27,55.89,19116209,Chili
BEL,Europe,2021-07-01,7251205.0,4073334.0,62.57,35.15,11589616,Belgique
NLD,Europe,2021-07-03,10316529.0,6199305.0,60.21,36.18,17134873,Pays-Bas
PRT,Europe,2021-07-03,5998546.0,3757255.0,58.83,36.85,10196707,Portugal
ITA,Europe,2021-07-03,34620140.0,19826856.0,57.26,32.79,60461828,Italie
ESP,Europe,2021-07-01,25948237.0,18466362.0,55.5,39.5,46754783,Espagne
DEU,Europe,2021-07-01,46249449.0,31487487.0,55.2,37.58,83783945,Allemagne
USA,North America,2021-07-03,182109860.0,156982549.0,54.45,46.94,331002647,États-Unis
