iso_code,name_fr,continent,date,new_cases_smoothed_per_million
FRA,France,Europe,2021-01-01,195.41
FRA,France,Europe,2021-01-02,196.198
FRA,France,Europe,2021-01-03,203.965
FRA,France,Europe,2021-01-04,206.032
FRA,France,Europe,2021-01-05,225.762
FRA,France,Europe,2021-01-06,223.051
FRA,France,Europe,2021-01-07,226.698
FRA,France,Europe,2021-01-08,227.781
FRA,France,Europe,2021-01-09,263.115
FRA,France,Europe,2021-01-10,270.407
FRA,France,Europe,2021-01-11,269.841
FRA,France,Europe,2021-01-12,267.42
FRA,France,Europe,2021-01-13,264.671
FRA,France,Europe,2021-01-14,263.96
FRA,France,Europe,2021-01-15,267.041
FRA,France,Europe,2021-01-16,269.646
FRA,France,Europe,2021-01-17,271.122
FRA,France,Europe,2021-01-18,271.084
FRA,France,Europe,2021-01-19,279.996
FRA,France,Europe,2021-01-20,286.223
FRA,France,Europe,2021-01-21,288.927
FRA,France,Europe,2021-01-22,293.171
FRA,France,Europe,2021-01-23,298.488
FRA,France,Europe,2021-01-24,302.282
FRA,France,Europe,2021-01-25,303.343
FRA,France,Europe,2021-01-26,299.639
FRA,France,Europe,2021-01-27,299.795
FRA,France,Europe,2021-01-28,302.43
FRA,France,Europe,2021-01-29,302.241
FRA,France,Europe,2021-01-30,302.497
FRA,France,Europe,2021-01-31,304.187
FRA,France,Europe,2021-02-01,304.373
FRA,France,Europe,2021-02-02,306.897
FRA,France,Europe,2021-02-03,305.745
FRA,France,Europe,2021-02-04,255.135
FRA,France,Europe,2021-02-05,302.438
FRA,France,Europe,2021-02-06,295.129
FRA,France,Europe,2021-02-07,296.144
FRA,France,Europe,2021-02-08,296.048
FRA,France,Europe,2021-02-09,286.637
FRA,France,Europe,2021-02-10,285.098
FRA,France,Europe,2021-02-11,329.619
FRA,France,Europe,2021-02-12,276.974
FRA,France,Europe,2021-02-13,278.334
FRA,France,Europe,2021-02-14,271.634
FRA,France,Europe,2021-02-15,271.767
FRA,France,Europe,2021-02-16,273.268
FRA,France,Europe,2021-02-17,272.228
FRA,France,Europe,2021-02-18,275.277
FRA,France,Europe,2021-02-19,282.504
FRA,France,Europe,2021-02-20,284.914
FRA,France,Europe,2021-02-21,296.543
FRA,France,Europe,2021-02-22,297.067
FRA,France,Europe,2021-02-23,298.302
FRA,France,Europe,2021-02-24,311.71
FRA,France,Europe,2021-02-25,317.833
FRA,France,Europe,2021-02-26,320.135
FRA,France,Europe,2021-02-27,323.571
FRA,France,Europe,2021-02-28,319.144
FRA,France,Europe,2021-03-01,319.305
FRA,France,Europe,2021-03-02,324.996
FRA,France,Europe,2021-03-03,315.22
FRA,France,Europe,2021-03-04,314.949
FRA,France,Europe,2021-03-05,311.335
FRA,France,Europe,2021-03-06,309.876
FRA,France,Europe,2021-03-07,313.858
FRA,France,Europe,2021-03-08,315.558
FRA,France,Europe,2021-03-09,316.131
FRA,France,Europe,2021-03-10,321.99
FRA,France,Europe,2021-03-11,328.001
FRA,France,Europe,2021-03-12,331.532
FRA,France,Europe,2021-03-13,345.246
FRA,France,Europe,2021-03-14,354.786
FRA,France,Europe,2021-03-15,356.767
FRA,France,Europe,2021-03-16,371.405
FRA,France,Europe,2021-03-17,390.069
FRA,France,Europe,2021-03-18,404.726
FRA,France,Europe,2021-03-19,425.914
FRA,France,Europe,2021-03-20,437.643
FRA,France,Europe,2021-03-21,446.608
FRA,France,Europe,2021-03-22,466.36
FRA,France,Europe,2021-03-23,433.864
FRA,France,Europe,2021-03-24,490.722
FRA,France,Europe,2021-03-25,513.133
FRA,France,Europe,2021-03-26,527.242
FRA,France,Europe,2021-03-27,542.667
FRA,France,Europe,2021-03-28,556.271
FRA,France,Europe,2021-03-29,542.098
FRA,France,Europe,2021-03-30,575.975
FRA,France,Europe,2021-03-31,562.573
FRA,France,Europe,2021-04-01,573.253
FRA,France,Europe,2021-04-02,583.417
FRA,France,Europe,2021-04-03,493.458
FRA,France,Europe,2021-04-04,585.663
FRA,France,Europe,2021-04-05,589.23
FRA,France,Europe,2021-04-06,541.307
FRA,France,Europe,2021-04-07,418.474
FRA,France,Europe,2021-04-08,516.706
FRA,France,Europe,2021-04-09,418.347
FRA,France,Europe,2021-04-10,421.06
FRA,France,Europe,2021-04-11,499.865
FRA,France,Europe,2021-04-12,495.124
FRA,France,Europe,2021-04-13,560.821
FRA,France,Europe,2021-04-14,650.782
FRA,France,Europe,2021-04-15,525.844
FRA,France,Europe,2021-04-16,602.58
FRA,France,Europe,2021-04-17,675.528
FRA,France,Europe,2021-04-18,488.289
FRA,France,Europe,2021-04-19,484.383
FRA,France,Europe,2021-04-20,494.852
