iso_code,name_fr,continent,date,new_cases_smoothed_per_million
ARG,Argentine,South America,2021-01-01,173.973
ARG,Argentine,South America,2021-01-02,178.8
ARG,Argentine,South America,2021-01-03,181.499
ARG,Argentine,South America,2021-01-04,184.679
ARG,Argentine,South America,2021-01-05,191.443
ARG,Argentine,South America,2021-01-06,196.741
ARG,Argentine,South America,2021-01-07,203.85
ARG,Argentine,South America,2021-01-08,233.138
ARG,Argentine,South America,2021-01-09,251.525
ARG,Argentine,South America,2021-01-10,257.606
ARG,Argentine,South America,2021-01-11,259.13
ARG,Argentine,South America,2021-01-12,259.108
ARG,Argentine,South America,2021-01-13,256.844
ARG,Argentine,South America,2021-01-14,255.109
ARG,Argentine,South America,2021-01-15,251.904
ARG,Argentine,South America,2021-01-16,245.187
ARG,Argentine,South America,2021-01-17,243.468
ARG,Argentine,South America,2021-01-18,241.827
ARG,Argentine,South America,2021-01-19,236.637
ARG,Argentine,South America,2021-01-20,234.7
ARG,Argentine,South America,2021-01-21,228.726
ARG,Argentine,South America,2021-01-22,223.735
ARG,Argentine,South America,2021-01-23,221.933
ARG,Argentine,South America,2021-01-24,214.875
ARG,Argentine,South America,2021-01-25,212.956
ARG,Argentine,South America,2021-01-26,207.481
ARG,Argentine,South America,2021-01-27,203.47
ARG,Argentine,South America,2021-01-28,197.386
ARG,Argentine,South America,2021-01-29,194.494
ARG,Argentine,South America,2021-01-30,189.879
ARG,Argentine,South America,2021-01-31,189.702
ARG,Argentine,South America,2021-02-01,186.655
ARG,Argentine,South America,2021-02-02,184.398
ARG,Argentine,South America,2021-02-03,179.192
ARG,Argentine,South America,2021-02-04,177.359
ARG,Argentine,South America,2021-02-05,172.731
ARG,Argentine,South America,2021-02-06,172.029
ARG,Argentine,South America,2021-02-07,167.867
ARG,Argentine,South America,2021-02-08,163.252
ARG,Argentine,South America,2021-02-09,157.243
ARG,Argentine,South America,2021-02-10,152.638
ARG,Argentine,South America,2021-02-11,147.643
ARG,Argentine,South America,2021-02-12,143.778
ARG,Argentine,South America,2021-02-13,141.808
ARG,Argentine,South America,2021-02-14,143.664
ARG,Argentine,South America,2021-02-15,137.674
ARG,Argentine,South America,2021-02-16,125.691
ARG,Argentine,South America,2021-02-17,120.397
ARG,Argentine,South America,2021-02-18,121.535
ARG,Argentine,South America,2021-02-19,123.858
ARG,Argentine,South America,2021-02-20,123.501
ARG,Argentine,South America,2021-02-21,121.807
ARG,Argentine,South America,2021-02-22,128.628
ARG,Argentine,South America,2021-02-23,139.608
ARG,Argentine,South America,2021-02-24,146.306
ARG,Argentine,South America,2021-02-25,148.086
ARG,Argentine,South America,2021-02-26,139.226
ARG,Argentine,South America,2021-02-27,137.725
ARG,Argentine,South America,2021-02-28,136.015
ARG,Argentine,South America,2021-03-01,133.616
