iso_code,continent,date,total_deaths
AFG,Asia,2021-07-08,5477.0
ALB,Europe,2021-07-08,2456.0
DZA,Africa,2021-07-08,3798.0
AGO,Africa,2021-07-08,925.0
ARG,South America,2021-07-08,97904.0
ARM,Asia,2021-07-08,4536.0
AUS,Oceania,2021-07-08,910.0
AUT,Europe,2021-07-08,10721.0
AZE,Asia,2021-07-08,4980.0
BHS,North America,2021-07-08,252.0
BGD,Asia,2021-07-08,15792.0
BLR,Europe,2021-07-08,3225.0
BEL,Europe,2021-07-08,25196.0
BLZ,North America,2021-07-08,330.0
BEN,Africa,2021-07-08,105.0
BTN,Asia,2021-07-08,1.0
BOL,South America,2021-07-08,17126.0
BIH,Europe,2021-07-08,9667.0
BWA,Africa,2021-07-08,1202.0
BRA,South America,2021-07-08,530179.0
BRN,Asia,2021-07-08,3.0
BGR,Europe,2021-07-08,18134.0
BFA,Africa,2021-07-08,168.0
BDI,Africa,2021-07-08,8.0
KHM,Asia,2021-07-08,825.0
CMR,Africa,2021-07-08,1324.0
CAN,North America,2021-07-08,26375.0
CAF,Africa,2021-07-08,98.0
TCD,Africa,2021-07-08,174.0
CHL,South America,2021-07-08,33514.0
CHN,Asia,2021-07-08,4636.0
COL,South America,2021-07-08,111155.0
COG,Africa,2021-07-08,167.0
CRI,North America,2021-07-08,4760.0
CIV,Africa,2021-07-08,317.0
HRV,Europe,2021-07-08,8226.0
CUB,North America,2021-07-08,1431.0
CYP,Europe,2021-07-08,380.0
CZE,Europe,2021-07-08,30331.0
COD,Africa,2021-07-08,973.0
DNK,Europe,2021-07-08,2539.0
DJI,Africa,2021-07-08,155.0
DOM,North America,2021-07-08,3870.0
ECU,South America,2021-07-08,21768.0
EGY,Africa,2021-07-08,16351.0
SLV,North America,2021-07-08,2428.0
GNQ,Africa,2021-07-08,122.0
ERI,Africa,2021-07-08,28.0
EST,Europe,2021-07-08,1270.0
SWZ,Africa,2021-07-08,685.0
ETH,Africa,2021-07-08,4341.0
FJI,Oceania,2021-07-08,48.0
FIN,Europe,2021-07-08,976.0
FRA,Europe,2021-07-08,111473.0
GAB,Africa,2021-07-08,161.0
GMB,Africa,2021-07-08,183.0
GEO,Asia,2021-07-08,5415.0
DEU,Europe,2021-07-08,91197.0
GHA,Africa,2021-07-08,797.0
GRC,Europe,2021-07-08,12749.0
GTM,North America,2021-07-08,9609.0
GIN,Africa,2021-07-08,174.0
GNB,Africa,2021-07-08,70.0
GUY,South America,2021-07-08,486.0
HTI,North America,2021-07-08,467.0
HND,North America,2021-07-08,7192.0
HUN,Europe,2021-07-08,30004.0
ISL,Europe,2021-07-08,29.0
IND,Asia,2021-07-08,405939.0
IDN,Asia,2021-07-08,63760.0
