iso_code,continent,date,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,name_fr
AFG,Asia,2021-07-07,735213.0,199250.0,1.89,0.51,38928341.0,Afghanistan
ALB,Europe,2021-07-11,587876.0,434926.0,20.43,15.11,2877800.0,Albanie
AGO,Africa,2021-07-05,951772.0,561688.0,2.9,1.71,32866268.0,Angola
ARG,South America,2021-07-11,19594624.0,5022294.0,43.35,11.11,45195777.0,Argentine
ARM,Asia,2021-07-04,177518.0,49654.0,5.99,1.68,2963234.0,Arménie
AUS,Oceania,2021-07-11,6794122.0,2303847.0,26.64,9.03,25499881.0,Australie
AUT,Europe,2021-07-11,5029943.0,3726963.0,55.85,41.38,9006400.0,Autriche
AZE,Asia,2021-07-11,2474911.0,1633039.0,24.41,16.11,10139175.0,Azerbaïdjan
BHS,North America,2021-07-02,59731.0,36261.0,15.19,9.22,393248.0,Bahamas
BGD,Asia,2021-07-08,5823245.0,4284312.0,3.54,2.6,164689383.0,Bangladesh
BLR,Europe,2021-06-13,699141.0,369272.0,7.4,3.91,9449321.0,Biélorussie
BEL,Europe,2021-07-08,7523124.0,4596051.0,64.91,39.66,11589616.0,Belgique
BLZ,North America,2021-07-08,102052.0,37473.0,25.67,9.42,397621.0,Belize
BEN,Africa,2021-06-28,36188.0,9920.0,0.3,0.08,12123198.0,Bénin
BTN,Asia,2021-07-05,484820.0,1306.0,62.83,0.17,771612.0,Bhoutan
BOL,South America,2021-07-02,1927217.0,720327.0,16.51,6.17,11673029.0,Bolivie
BIH,Europe,2021-07-05,306429.0,163789.0,9.34,4.99,3280815.0,Bosnie-Herzégovine
BWA,Africa,2021-07-05,161426.0,106337.0,6.86,4.52,2351625.0,Botswana
BRA,South America,2021-07-11,86797811.0,30551564.0,40.83,14.37,212559409.0,Brésil
BRN,Asia,2021-07-09,91140.0,17317.0,20.83,3.96,437483.0,Brunei
BGR,Europe,2021-07-11,1003791.0,848792.0,14.45,12.22,6948445.0,Bulgarie
KHM,Asia,2021-07-11,4903845.0,3796322.0,29.33,22.71,16718971.0,Cambodge
CMR,Africa,2021-06-28,88333.0,21991.0,0.33,0.08,26545864.0,Cameroun
CAN,North America,2021-07-11,26206748.0,16302895.0,69.44,43.2,37742157.0,Canada
TCD,Africa,2021-07-07,15966.0,4512.0,0.1,0.03,16425859.0,Tchad
CHL,South America,2021-07-09,13214146.0,11314570.0,69.13,59.19,19116209.0,Chili
CHN,Asia,2021-06-10,622000000.0,223299000.0,43.21,15.51,1439323774.0,Chine
COL,South America,2021-07-11,13181270.0,8643141.0,25.91,16.99,50882884.0,Colombie
CRI,North America,2021-07-05,1704864.0,816931.0,33.47,16.04,5094114.0,Costa Rica
HRV,Europe,2021-07-10,1550632.0,1263602.0,37.77,30.78,4105268.0,Croatie
CUB,North America,2021-07-09,3039304.0,1752137.0,26.83,15.47,11326616.0,Cuba
CYP,Europe,2021-07-10,479265.0,407845.0,53.97,45.93,888005.0,Chypre (pays)
CZE,Europe,2021-07-11,5234122.0,3830283.0,48.88,35.77,10708982.0,Tchéquie
COD,Africa,2021-06-24,44840.0,8016.0,0.05,0.01,89561404.0,République démocratique du Congo
DNK,Europe,2021-07-10,3661219.0,2327478.0,63.21,40.18,5792203.0,Danemark
DJI,Africa,2021-06-01,12547.0,8810.0,1.27,0.89,988002.0,Djibouti
DOM,North America,2021-07-10,5217103.0,3536178.0,48.09,32.6,10847904.0,République dominicaine
ECU,South America,2021-07-10,3933031.0,1686084.0,22.29,9.56,17643060.0,Équateur (pays)
EGY,Africa,2021-07-08,3580443.0,979639.0,3.5,0.96,102334403.0,Égypte
SLV,North America,2021-07-09,1951564.0,1261316.0,30.09,19.45,6486201.0,Salvador
GNQ,Africa,2021-07-07,160525.0,116517.0,11.44,8.3,1402985.0,Guinée équatoriale
EST,Europe,2021-07-11,583530.0,440113.0,43.99,33.18,1326539.0,Estonie
SWZ,Africa,2021-07-07,37558.0,13893.0,3.24,1.2,1160164.0,Eswatini
FLK,South America,2021-04-14,2632.0,1775.0,75.57,50.96,3483.0,Malouines
FJI,Oceania,2021-07-06,324462.0,54737.0,36.19,6.11,896444.0,Fidji
FIN,Europe,2021-07-11,3480437.0,1347533.0,62.82,24.32,5540718.0,Finlande
FRA,Europe,2021-07-08,35342794.0,24389334.0,52.31,36.1,67564251.0,France
GAB,Africa,2021-07-05,42022.0,22139.0,1.89,0.99,2225728.0,Gabon
GMB,Africa,2021-06-30,31150.0,11825.0,1.29,0.49,2416664.0,Gambie
GEO,Asia,2021-07-09,175504.0,113895.0,4.4,2.86,3989175.0,Géorgie (pays)
DEU,Europe,2021-07-11,48612685.0,35437750.0,58.02,42.3,83783945.0,Allemagne
GHA,Africa,2021-07-05,864918.0,396759.0,2.78,1.28,31072945.0,Ghana
GRC,Europe,2021-07-11,5246057.0,4258610.0,50.33,40.86,10423056.0,Grèce
GRL,North America,2021-07-09,31494.0,16477.0,55.47,29.02,56772.0,Groenland
GTM,North America,2021-07-09,840367.0,188032.0,4.69,1.05,17915567.0,Guatemala
GIN,Africa,2021-07-07,476080.0,258838.0,3.63,1.97,13132792.0,Guinée
GNB,Africa,2021-07-05,21855.0,1463.0,1.11,0.07,1967998.0,Guinée-Bissau
GUY,South America,2021-07-08,237111.0,116903.0,30.15,14.86,786559.0,Guyana
HND,North America,2021-07-07,912814.0,67549.0,9.22,0.68,9904608.0,Honduras
HUN,Europe,2021-07-11,5538557.0,5175503.0,57.33,53.57,9660350.0,Hongrie
ISL,Europe,2021-07-09,264849.0,239686.0,77.61,70.24,341250.0,Islande
IND,Asia,2021-07-11,304018852.0,73333649.0,22.03,5.31,1380004385.0,Inde
IDN,Asia,2021-07-11,36267019.0,15011348.0,13.26,5.49,273523621.0,Indonésie
IRN,Asia,2021-06-29,4076904.0,1641010.0,4.85,1.95,83992953.0,Iran
IRQ,Asia,2021-07-05,699325.0,388541.0,1.74,0.97,40222503.0,Irak
IRL,Europe,2021-07-10,2745931.0,2033341.0,55.61,41.18,4937796.0,Irlande (pays)
ISR,Asia,2021-07-11,5730022.0,5193499.0,66.2,60.0,8655541.0,Israël
ITA,Europe,2021-07-11,35843579.0,23040048.0,59.28,38.11,60461828.0,Italie
JAM,North America,2021-07-09,176879.0,111441.0,5.97,3.76,2961161.0,Jamaïque
JPN,Asia,2021-07-11,37601999.0,22655293.0,29.73,17.91,126476458.0,Japon
JOR,Asia,2021-07-11,2654733.0,1657479.0,26.02,16.24,10203140.0,Jordanie
KAZ,Asia,2021-07-11,4319897.0,2422378.0,23.01,12.9,18776707.0,Kazakhstan
