fra,jour,n_dose1,n_complet,n_cum_dose1,n_cum_complet,couv_dose1,couv_complet,roll_mean_dose1
FR,2020-12-27,21,2,21,2,0,0,NA
FR,2020-12-28,74,0,95,2,0,0,NA
FR,2020-12-29,108,0,203,2,0,0,NA
FR,2020-12-30,125,0,328,2,0,0,NA
FR,2020-12-31,88,0,416,2,0,0,NA
FR,2021-01-01,78,1,494,3,0,0,NA
FR,2021-01-02,91,4,585,7,0,0,83.57142857142857
FR,2021-01-03,93,0,678,7,0,0,93.85714285714286
FR,2021-01-04,1482,8,2160,15,0,0,295
FR,2021-01-05,5429,26,7589,41,0,0,1055.142857142857
FR,2021-01-06,11334,51,18923,92,0,0,2656.4285714285716
FR,2021-01-07,28678,101,47601,193,0.1,0,6740.714285714285
FR,2021-01-08,36358,115,83959,308,0.1,0,11923.57142857143
FR,2021-01-09,10960,27,94919,335,0.1,0,13476.285714285714
FR,2021-01-10,5651,12,100570,347,0.1,0,14270.285714285714
FR,2021-01-11,39169,143,139739,490,0.2,0,19654.14285714286
FR,2021-01-12,61087,213,200826,703,0.3,0,27605.285714285714
FR,2021-01-13,63998,256,264824,959,0.4,0,35128.71428571428
FR,2021-01-14,80144,800,344968,1759,0.5,0,42481
FR,2021-01-15,67674,396,412642,2155,0.6,0,46954.71428571428
FR,2021-01-16,19779,147,432421,2302,0.6,0,48214.57142857143
FR,2021-01-17,10491,76,442912,2378,0.7,0,48906
FR,2021-01-18,84566,440,527478,2818,0.8,0,55391.28571428572
FR,2021-01-19,128717,523,656195,3341,1,0,65052.71428571428
FR,2021-01-20,135519,662,791714,4003,1.2,0,75270
FR,2021-01-21,155757,654,947471,4657,1.4,0,86071.85714285714
FR,2021-01-22,119033,627,1066504,5284,1.6,0,93408.85714285714
FR,2021-01-23,37898,139,1104402,5423,1.6,0,95997.28571428571
FR,2021-01-24,9383,46,1113785,5469,1.7,0,95839
FR,2021-01-25,77022,1501,1190807,6970,1.8,0,94761.28571428571
FR,2021-01-26,98986,3463,1289793,10433,1.9,0,90514
FR,2021-01-27,105817,5972,1395610,16405,2.1,0,86270.85714285714
FR,2021-01-28,122613,14819,1518223,31224,2.3,0,81536
FR,2021-01-29,91044,17657,1609267,48881,2.4,0.1,77537.57142857143
FR,2021-01-30,28710,4313,1637977,53194,2.4,0.1,76225
FR,2021-01-31,4883,1694,1642860,54888,2.4,0.1,75582.14285714286
FR,2021-02-01,51680,21307,1694540,76195,2.5,0.1,71961.85714285714
FR,2021-02-02,70808,34854,1765348,111049,2.6,0.2,67936.42857142857
FR,2021-02-03,71101,37296,1836449,148345,2.7,0.2,62977
FR,2021-02-04,80752,50418,1917201,198763,2.9,0.3,56996.857142857145
FR,2021-02-05,67262,45641,1984463,244404,3,0.4,53599.42857142857
FR,2021-02-06,21372,10490,2005835,254894,3,0.4,52551.142857142855
FR,2021-02-07,4829,5107,2010664,260001,3,0.4,52543.42857142857
FR,2021-02-08,45966,46279,2056630,306280,3.1,0.5,51727.142857142855
FR,2021-02-09,64913,73071,2121543,379351,3.2,0.6,50885
FR,2021-02-10,69399,77455,2190942,456806,3.3,0.7,50641.857142857145
FR,2021-02-11,85821,100283,2276763,557089,3.4,0.8,51366
FR,2021-02-12,77903,75309,2354666,632398,3.5,0.9,52886.142857142855
FR,2021-02-13,21733,19723,2376399,652121,3.5,1,52937.71428571428
FR,2021-02-14,4602,7242,2381001,659363,3.5,1,52905.28571428572
FR,2021-02-15,37166,77080,2418167,736443,3.6,1.1,51648.142857142855
FR,2021-02-16,49294,101524,2467461,837967,3.7,1.2,49416.857142857145
FR,2021-02-17,49422,103701,2516883,941668,3.8,1.4,46563
FR,2021-02-18,68216,119649,2585099,1061317,3.9,1.6,44048
FR,2021-02-19,63964,91862,2649063,1153179,3.9,1.7,42056.71428571428
FR,2021-02-20,18033,28614,2667096,1181793,4,1.8,41528.142857142855
FR,2021-02-21,2871,6409,2669967,1188202,4,1.8,41280.857142857145
FR,2021-02-22,36612,73716,2706579,1261918,4,1.9,41201.71428571428
FR,2021-02-23,52742,84861,2759321,1346779,4.1,2,41694.28571428572
FR,2021-02-24,58242,81973,2817563,1428752,4.2,2.1,42954.28571428572
FR,2021-02-25,98952,93201,2916515,1521953,4.3,2.3,47345.142857142855
FR,2021-02-26,111992,72898,3028507,1594851,4.5,2.4,54206.28571428572
FR,2021-02-27,51291,22668,3079798,1617519,4.6,2.4,58957.42857142857
FR,2021-02-28,5693,4507,3085491,1622026,4.6,2.4,59360.57142857143
FR,2021-03-01,63796,53788,3149287,1675814,4.7,2.5,63244
FR,2021-03-02,99533,67901,3248820,1743715,4.8,2.6,69928.42857142857
FR,2021-03-03,114025,67609,3362845,1811324,5,2.7,77897.42857142857
FR,2021-03-04,160963,72108,3523808,1883432,5.3,2.8,86756.14285714286
FR,2021-03-05,198456,67349,3722264,1950781,5.5,2.9,99108.14285714286
FR,2021-03-06,205751,20790,3928015,1971571,5.9,2.9,121173.85714285714
FR,2021-03-07,120024,7230,4048039,1978801,6,2.9,137506.85714285713
FR,2021-03-08,105218,52701,4153257,2031502,6.2,3,143424.2857142857
FR,2021-03-09,170178,59778,4323435,2091280,6.4,3.1,153516.42857142858
FR,2021-03-10,176218,60260,4499653,2151540,6.7,3.2,162401.14285714287
FR,2021-03-11,240114,67710,4739767,2219250,7.1,3.3,173708.42857142858
FR,2021-03-12,291872,58901,5031639,2278151,7.5,3.4,187053.57142857142
FR,2021-03-13,229200,18498,5260839,2296649,7.8,3.4,190403.42857142858
FR,2021-03-14,62348,4478,5323187,2301127,7.9,3.4,182164
FR,2021-03-15,156367,35518,5479554,2336645,8.2,3.5,189471
FR,2021-03-16,139590,41998,5619144,2378643,8.4,3.5,185101.2857142857
FR,2021-03-17,148415,41594,5767559,2420237,8.6,3.6,181129.42857142858
FR,2021-03-18,165483,48429,5933042,2468666,8.8,3.7,170467.85714285713
FR,2021-03-19,227392,42435,6160434,2511101,9.2,3.7,161256.42857142858
FR,2021-03-20,165040,14794,6325474,2525895,9.4,3.8,152090.7142857143
FR,2021-03-21,48816,3738,6374290,2529633,9.5,3.8,150157.57142857142
FR,2021-03-22,167612,38100,6541902,2567733,9.7,3.8,151764
FR,2021-03-23,247535,47764,6789437,2615497,10.1,3.9,167184.7142857143
FR,2021-03-24,254113,49369,7043550,2664866,10.5,4,182284.42857142858
FR,2021-03-25,338804,52351,7382354,2717217,11,4,207044.57142857142
FR,2021-03-26,356051,50220,7738405,2767437,11.5,4.1,225424.42857142858
FR,2021-03-27,193653,21132,7932058,2788569,11.8,4.2,229512
FR,2021-03-28,58428,5160,7990486,2793729,11.9,4.2,230885.14285714287
FR,2021-03-29,200968,59080,8191454,2852809,12.2,4.3,235650.2857142857
FR,2021-03-30,282793,77054,8474247,2929863,12.6,4.4,240687.14285714287
FR,2021-03-31,260349,80276,8734596,3010139,13,4.5,241578
FR,2021-04-01,311174,97449,9045770,3107588,13.5,4.6,237630.85714285713
FR,2021-04-02,278708,100479,9324478,3208067,13.9,4.8,226581.85714285713
FR,2021-04-03,139524,65615,9464002,3273682,14.1,4.9,218849.14285714287
FR,2021-04-04,44962,20175,9508964,3293857,14.2,4.9,216925.42857142858
FR,2021-04-05,58905,13026,9567869,3306883,14.3,4.9,196630.7142857143
FR,2021-04-06,214059,114151,9781928,3421034,14.6,5.1,186811.57142857142
FR,2021-04-07,256955,123808,10038883,3544842,15,5.3,186326.7142857143
FR,2021-04-08,333881,133126,10372764,3677968,15.5,5.5,189570.57142857142
FR,2021-04-09,406445,129303,10779209,3807271,16.1,5.7,207818.7142857143
FR,2021-04-10,210672,89065,10989881,3896336,16.4,5.8,217982.7142857143
FR,2021-04-11,54979,36564,11044860,3932900,16.5,5.9,219413.7142857143
FR,2021-04-12,234386,122462,11279246,4055362,16.8,6,244482.42857142858
FR,2021-04-13,306093,154805,11585339,4210167,17.3,6.3,257630.14285714287
FR,2021-04-14,290532,149593,11875871,4359760,17.7,6.5,262426.85714285716
FR,2021-04-15,332643,159857,12208514,4519617,18.2,6.7,262250
FR,2021-04-16,336169,157049,12544683,4676666,18.7,7,252210.57142857142
FR,2021-04-17,186819,96366,12731502,4773032,19,7.1,248803
FR,2021-04-18,50548,37415,12782050,4810447,19,7.2,248170
FR,2021-04-19,203119,145711,12985169,4956158,19.3,7.4,243703.2857142857
FR,2021-04-20,251329,180187,13236498,5136345,19.7,7.7,235879.85714285713
FR,2021-04-21,249937,178566,13486435,5314911,20.1,7.9,230080.57142857142
FR,2021-04-22,284008,200020,13770443,5514931,20.5,8.2,223132.7142857143
FR,2021-04-23,291750,196124,14062193,5711055,21,8.5,216787.14285714287
FR,2021-04-24,188446,120366,14250639,5831421,21.2,8.7,217019.57142857142
FR,2021-04-25,68473,42049,14319112,5873470,21.3,8.8,219580.2857142857
FR,2021-04-26,218379,167587,14537491,6041057,21.7,9,221760.2857142857
FR,2021-04-27,281470,208354,14818961,6249411,22.1,9.3,226066.14285714287
FR,2021-04-28,296503,205753,15115464,6455164,22.5,9.6,232718.42857142858
FR,2021-04-29,353591,228147,15469055,6683311,23,10,242658.85714285713
FR,2021-04-30,368677,221271,15837732,6904582,23.6,10.3,253648.42857142858
FR,2021-05-01,164361,62425,16002093,6967007,23.8,10.4,250207.7142857143
FR,2021-05-02,90328,42782,16092421,7009789,24,10.4,253329.85714285713
FR,2021-05-03,284679,188219,16377100,7198008,24.4,10.7,262801.28571428574
FR,2021-05-04,311624,248248,16688724,7446256,24.9,11.1,267109
FR,2021-05-05,321676,247416,17010400,7693672,25.3,11.5,270705.14285714284
FR,2021-05-06,374432,270742,17384832,7964414,25.9,11.9,273682.4285714286
