jour,n_dose1,n_dose2,total_dose,roll_dose
2020-12-27,21,0,21,NA
2020-12-28,77,0,77,NA
2020-12-29,108,0,108,NA
2020-12-30,126,0,126,NA
2020-12-31,88,0,88,NA
2021-01-01,76,0,76,NA
2021-01-02,93,0,93,84.14285714285714
2021-01-03,99,0,99,95.28571428571429
2021-01-04,1483,0,1483,296.14285714285717
2021-01-05,5445,0,5445,1058.5714285714287
2021-01-06,11342,0,11342,2660.8571428571427
2021-01-07,28711,0,28711,6749.857142857143
2021-01-08,36381,0,36381,11936.285714285714
2021-01-09,10967,0,10967,13489.714285714286
2021-01-10,5653,0,5653,14283.142857142857
2021-01-11,39193,0,39193,19670.285714285714
2021-01-12,61118,0,61118,27623.571428571428
2021-01-13,64064,0,64064,35155.28571428572
2021-01-14,80167,0,80167,42506.142857142855
2021-01-15,67722,0,67722,46983.42857142857
2021-01-16,19758,78,19836,48250.42857142857
2021-01-17,10488,42,10530,48947.142857142855
2021-01-18,84611,162,84773,55458.57142857143
2021-01-19,128745,125,128870,65137.42857142857
2021-01-20,135570,157,135727,75375
2021-01-21,155832,135,155967,86203.57142857143
2021-01-22,119088,162,119250,93564.71428571429
2021-01-23,37907,50,37957,96153.42857142857
2021-01-24,9387,27,9414,95994
2021-01-25,77069,1219,78288,95067.57142857143
2021-01-26,99011,3110,102121,91246.28571428571
2021-01-27,105853,5596,111449,87778
2021-01-28,122661,14360,137021,85071.42857142857
2021-01-29,91072,17282,108354,83514.85714285714
2021-01-30,28714,4225,32939,82798
2021-01-31,4884,1679,6563,82390.71428571429
2021-02-01,51706,21124,72830,81611
2021-02-02,70825,34560,105385,82077.28571428571
2021-02-03,71123,36959,108082,81596.28571428571
2021-02-04,80754,50049,130803,80708
2021-02-05,67277,45338,112615,81316.71428571429
2021-02-06,21390,10401,31791,81152.71428571429
2021-02-07,4830,5042,9872,81625.42857142857
2021-02-08,45981,45979,91960,84358.28571428571
2021-02-09,64935,72409,137344,88923.85714285714
2021-02-10,69426,76731,146157,94363.14285714286
2021-02-11,85856,99146,185002,102105.85714285714
2021-02-12,77945,74219,152164,107755.71428571429
2021-02-13,21745,19492,41237,109105.14285714286
2021-02-14,4603,7191,11794,109379.71428571429
2021-02-15,37180,76514,113694,112484.57142857143
2021-02-16,49331,100742,150073,114303
2021-02-17,49452,102993,152445,115201.28571428571
2021-02-18,68240,118533,186773,115454.28571428571
2021-02-19,64014,90759,154773,115827
2021-02-20,18035,28429,46464,116573.71428571429
2021-02-21,2873,6372,9245,116209.57142857143
2021-02-22,36616,73149,109765,115648.28571428571
2021-02-23,52759,84064,136823,113755.42857142857
2021-02-24,58277,81123,139400,111891.85714285714
2021-02-25,98986,91400,190386,112408
2021-02-26,112016,71015,183031,116444.85714285714
2021-02-27,51304,21981,73285,120276.42857142857
2021-02-28,5702,4414,10116,120400.85714285714
2021-03-01,63840,52791,116631,121381.71428571429
2021-03-02,99598,66253,165851,125528.57142857143
2021-03-03,114080,65553,179633,131276.14285714287
2021-03-04,161060,68885,229945,136927.42857142858
2021-03-05,198528,63365,261893,148193.42857142858
2021-03-06,205899,17822,223721,169684.2857142857
2021-03-07,120076,5471,125547,186174.42857142858
2021-03-08,105264,50800,156064,191807.7142857143
2021-03-09,170236,56780,227016,200545.57142857142
2021-03-10,176278,57218,233496,208240.2857142857
2021-03-11,240207,63111,303318,218722.14285714287
2021-03-12,291979,53520,345499,230665.85714285713
2021-03-13,229274,15309,244583,233646.14285714287
2021-03-14,62364,3437,65801,225111
2021-03-15,156424,32649,189073,229826.57142857142
2021-03-16,139624,39529,179153,222989
2021-03-17,148461,38795,187256,216383.2857142857
2021-03-18,165531,44633,210164,203075.57142857142
2021-03-19,227448,37481,264929,191565.57142857142
2021-03-20,165066,11784,176850,181889.42857142858
2021-03-21,48824,2627,51451,179839.42857142858
2021-03-22,167663,34293,201956,181679.85714285713
2021-03-23,247629,42411,290040,197520.85714285713
2021-03-24,254187,43855,298042,213347.42857142858
2021-03-25,338908,44763,383671,238134.14285714287
2021-03-26,356271,41914,398185,257170.7142857143
2021-03-27,193692,16651,210343,261955.42857142858
2021-03-28,58446,3732,62178,263487.85714285716
2021-03-29,201016,54302,255318,271111
2021-03-30,282872,69704,352576,280044.71428571426
2021-03-31,260432,72940,333372,285091.85714285716
2021-04-01,311324,87848,399172,287306.28571428574
2021-04-02,278807,92152,370959,283416.85714285716
2021-04-03,139563,61869,201432,282143.85714285716
2021-04-04,44977,18667,63644,282353.28571428574
2021-04-05,58927,11008,69935,255870
2021-04-06,214152,107894,322046,251508.57142857142
2021-04-07,257078,115480,372558,257106.57142857142
2021-04-08,334059,121443,455502,265153.71428571426
2021-04-09,406600,116516,523116,286890.4285714286
2021-04-10,210767,82757,293524,300046.4285714286
2021-04-11,55010,34599,89609,303755.71428571426
2021-04-12,234521,115242,349763,343731.14285714284
2021-04-13,306333,144992,451325,362199.5714285714
2021-04-14,290758,139432,430190,370432.71428571426
2021-04-15,332917,147882,480799,374046.5714285714
2021-04-16,336366,145794,482160,368195.71428571426
2021-04-17,186973,90267,277240,365869.4285714286
2021-04-18,50596,35428,86024,365357.28571428574
2021-04-19,203213,138411,341624,364194.5714285714
2021-04-20,251454,170763,422217,360036.28571428574
2021-04-21,250105,168831,418936,358428.5714285714
2021-04-22,284204,188297,472501,357243.14285714284
2021-04-23,291979,183300,475279,356260.14285714284
2021-04-24,188570,111588,300158,359534.14285714284
2021-04-25,68507,38882,107389,362586.28571428574
2021-04-26,218478,156138,374616,367299.4285714286
2021-04-27,281601,187552,469153,374004.5714285714
2021-04-28,296637,183236,479873,382709.85714285716
2021-04-29,353726,196172,549898,393766.5714285714
2021-04-30,368836,184876,553712,404971.28571428574
2021-05-01,164474,52546,217020,393094.4285714286
2021-05-02,90369,37837,128206,396068.28571428574
2021-05-03,284821,169688,454509,407481.5714285714
2021-05-04,311776,224361,536137,417050.71428571426
2021-05-05,321935,224571,546506,426569.71428571426
2021-05-06,374748,239252,614000,435727.14285714284
2021-05-07,368651,257379,626030,446058.28571428574
2021-05-08,219417,66941,286358,455963.71428571426
2021-05-09,128489,46769,175258,462685.4285714286
2021-05-10,307889,229068,536957,474463.71428571426
2021-05-11,399342,258233,657575,491812
2021-05-12,428470,233285,661755,508276.14285714284
2021-05-13,334254,56911,391165,476442.5714285714
2021-05-14,449173,167612,616785,475121.85714285716
2021-05-15,370393,94048,464441,500562.28571428574
2021-05-16,200867,20838,221705,507197.5714285714
2021-05-17,372147,149210,521357,504969
2021-05-18,454324,153237,607561,497824.14285714284
2021-05-19,462506,145416,607922,490133.71428571426
2021-05-20,501139,160430,661569,528762.8571428572
2021-05-21,484167,174629,658796,534764.4285714285
2021-05-22,344401,79933,424334,529034.8571428572
2021-05-23,160223,14453,174676,522316.4285714286
2021-05-24,260006,33274,293280,489734
2021-05-25,395330,189391,584721,486471.14285714284
2021-05-26,408094,188254,596348,484817.71428571426
2021-05-27,445002,218791,663793,485135.4285714286
2021-05-28,424473,259774,684247,488771.28571428574
2021-05-29,296515,149485,446000,491866.4285714286
2021-05-30,105638,32636,138274,486666.14285714284
2021-05-31,353304,203672,556976,524337
2021-06-01,416178,251824,668002,536234.2857142857
2021-06-02,404124,231128,635252,541792
2021-06-03,453007,258864,711871,548660.2857142857
2021-06-04,443691,305042,748733,557872.5714285715
2021-06-05,299485,189162,488647,563965
2021-06-06,129770,49165,178935,569773.7142857143
2021-06-07,329880,262634,592514,574850.5714285715
2021-06-08,383244,291494,674738,575812.8571428572
2021-06-09,374642,276128,650770,578029.7142857143
2021-06-10,388989,289660,678649,573283.7142857143
2021-06-11,376742,357760,734502,571250.7142857143
2021-06-12,277381,211643,489024,571304.5714285715
2021-06-13,101837,74139,175976,570881.8571428572
2021-06-14,231425,356191,587616,570182.1428571428
2021-06-15,296042,386341,682383,571274.2857142857
2021-06-16,304418,358056,662474,572946.2857142857
2021-06-17,308313,372443,680756,573247.2857142857
2021-06-18,309736,443059,752795,575860.5714285715
2021-06-19,219308,274142,493450,576492.8571428572
2021-06-20,70759,102697,173456,576132.8571428572
2021-06-21,186963,402381,589344,576379.7142857143
2021-06-22,214551,467628,682179,576350.5714285715
2021-06-23,225113,440232,665345,576760.7142857143
2021-06-24,231345,409633,640978,571078.1428571428
2021-06-25,218782,522688,741470,569460.2857142857
2021-06-26,149145,371086,520231,573286.1428571428
2021-06-27,54028,156498,210526,578581.8571428572
2021-06-28,147447,453548,600995,580246.2857142857
2021-06-29,175022,505818,680840,580055
2021-06-30,194615,481388,676003,581577.5714285715
2021-07-01,207729,458105,665834,585128.4285714285
2021-07-02,207157,520829,727986,583202.1428571428
