jour,vaccin_name,roll
2021-01-02,Pfizer,79.71428571428571
2021-01-02,Moderna,0
2021-01-02,AstraZeneca,0
2021-01-02,Janssen,0
2021-01-03,Pfizer,89.71428571428571
2021-01-03,Moderna,0
2021-01-03,AstraZeneca,0
2021-01-03,Janssen,0
2021-01-04,Pfizer,290.85714285714283
2021-01-04,Moderna,0
2021-01-04,AstraZeneca,0
2021-01-04,Janssen,0
2021-01-05,Pfizer,1046
2021-01-05,Moderna,0
2021-01-05,AstraZeneca,0
2021-01-05,Janssen,0
2021-01-06,Pfizer,2642.1428571428573
2021-01-06,Moderna,0
2021-01-06,AstraZeneca,0
2021-01-06,Janssen,0
2021-01-07,Pfizer,6709.142857142857
2021-01-07,Moderna,0
2021-01-07,AstraZeneca,0
2021-01-07,Janssen,0
2021-01-08,Pfizer,11875.57142857143
2021-01-08,Moderna,0
2021-01-08,AstraZeneca,0
2021-01-08,Janssen,0
2021-01-09,Pfizer,13422.714285714286
2021-01-09,Moderna,0
2021-01-09,AstraZeneca,0
2021-01-09,Janssen,0
2021-01-10,Pfizer,14212.57142857143
2021-01-10,Moderna,0
2021-01-10,AstraZeneca,0
2021-01-10,Janssen,0
2021-01-11,Pfizer,19569
2021-01-11,Moderna,0
2021-01-11,AstraZeneca,0
2021-01-11,Janssen,0
2021-01-12,Pfizer,27490.428571428572
2021-01-12,Moderna,0
2021-01-12,AstraZeneca,0
2021-01-12,Janssen,0
2021-01-13,Pfizer,34983.42857142857
2021-01-13,Moderna,0
2021-01-13,AstraZeneca,0
2021-01-13,Janssen,0
2021-01-14,Pfizer,42290
2021-01-14,Moderna,21
2021-01-14,AstraZeneca,0
2021-01-14,Janssen,0
2021-01-15,Pfizer,46721.142857142855
2021-01-15,Moderna,52
2021-01-15,AstraZeneca,0
2021-01-15,Janssen,0
2021-01-16,Pfizer,47950.57142857143
2021-01-16,Moderna,78.42857142857143
2021-01-16,AstraZeneca,0
2021-01-16,Janssen,0
2021-01-17,Pfizer,48642.857142857145
