jour,reg,n_tot_dose1,couv_tot_dose1
2021-07-11,01,64212,17
2021-07-11,02,59715,16.6
2021-07-11,03,52083,17.9
2021-07-11,04,258720,30.1
2021-07-11,06,51973,18.6
2021-07-11,11,6386198,52
2021-07-11,24,1406909,55
2021-07-11,27,1504174,54
2021-07-11,28,1926935,58.3
2021-07-11,32,3155087,52.9
2021-07-11,44,2974260,54
2021-07-11,52,2146713,56.5
2021-07-11,53,1985666,59.4
2021-07-11,75,3488745,58.1
2021-07-11,76,3150175,53.2
2021-07-11,84,4215475,52.5
2021-07-11,93,2538982,50.2
2021-07-11,94,168866,49
